                      %P                     obs                       s                guesserr                   error     directory
              0.29508203                1160.144               7.5973987           3.0127627e-09           6.0395282e-16   search-75/
              0.29683312               1173.8709               7.6973886           2.9142956e-09           4.6571105e-16   search-76/
              0.29857424               1187.6003               7.7973787           2.8201386e-09           2.6379583e-16   search-77/
              0.30030555               1201.3322               7.8973691           2.7300486e-09            5.660252e-17   search-78/
              0.30202723               1215.0664               7.9973597           2.6438136e-09           3.2781524e-16   search-79/
              0.30373943                1228.803               8.0973504           2.5612276e-09           4.9357135e-17   search-80/
              0.30544229               1242.5419               8.1973414           2.4820951e-09           3.6282686e-17   search-81/
              0.30713598                1256.283               8.2973326           2.4062355e-09           7.9050322e-17   search-82/
              0.30882063               1270.0262               8.3973239           2.3334864e-09           1.4804511e-16   search-83/
               0.3104964               1283.7717               8.4973154            2.263681e-09           1.2807595e-16   search-84/
               0.3121634               1297.5192               8.5973071           2.1966754e-09           1.7907338e-16   search-85/
              0.31382179               1311.2687                8.697299           2.1323286e-09           1.9376892e-16   search-86/
              0.31547168               1325.0203                8.797291           2.0705079e-09           8.9743736e-17   search-87/
              0.31711321               1338.7739               8.8972832           2.0110909e-09           2.1182558e-16   search-88/
              0.31874651               1352.5293               8.9972756           1.9539607e-09           3.3643378e-17   search-89/
              0.32037169               1366.2867               9.0972681           1.8990071e-09           6.5876738e-17   search-90/
              0.32198887               1380.0459               9.1972607           1.8461255e-09           8.8583427e-17   search-91/
              0.32359817               1393.8069               9.2972535           1.7952217e-09           2.5727487e-16   search-92/
               0.3251997               1407.5697               9.3972464           1.7462002e-09           1.7771391e-16   search-93/
              0.32679358               1421.3343               9.4972395           1.6989744e-09           1.2671333e-16   search-94/
               0.3283799               1435.1006               9.5972327           1.6534641e-09           4.1856663e-16   search-95/
              0.32995878               1448.8685                9.697226           1.6095899e-09           1.5200388e-16   search-96/
              0.33153031               1462.6381               9.7972194           1.5672783e-09           7.0865114e-17   search-97/
               0.3330946               1476.4094                9.897213            1.526461e-09           1.6430714e-16   search-98/
              0.33465175               1490.1822               9.9972066           1.4870692e-09             1.52735e-16   search-99/
              0.33620185               1503.9566                 10.0972            1.449046e-09           1.7673164e-16   search-100/
                0.337745               1517.7325               10.197194           1.4123261e-09           4.6841883e-16   search-101/
              0.33928128               1531.5099               10.297188           1.3768569e-09           4.5241189e-16   search-102/
               0.3408108               1545.2888               10.397182           1.3425854e-09           1.5566198e-17   search-103/
              0.34233363               1559.0691               10.497177           1.3094584e-09           4.5774883e-16   search-104/
              0.34384986               1572.8509               10.597171           1.2774317e-09           2.1505114e-16   search-105/
              0.34535957               1586.6341               10.697165            1.246457e-09           3.2747729e-17   search-106/
              0.34686286               1600.4187                10.79716           1.2164909e-09           7.7582381e-19   search-107/
               0.3483598               1614.2046               10.897154           1.1874955e-09           4.5813771e-16   search-108/
              0.34985046               1627.9918               10.997149           1.1594271e-09           4.7434906e-16   search-109/
              0.35133493               1641.7804               11.097144           1.1322524e-09           1.4587996e-17   search-110/
              0.35281328               1655.5703               11.197139           1.1059328e-09           1.4922658e-18   search-111/
              0.35428559               1669.3614               11.297134           1.0804369e-09           3.6799933e-18   search-112/
              0.35575193               1683.1538               11.397129           1.0557321e-09           4.6227543e-16   search-113/
              0.35721237               1696.9474               11.497124           1.0317855e-09           4.4771788e-16   search-114/
              0.35866698               1710.7422               11.597119           1.0085713e-09           2.2309663e-16   search-115/
              0.36011583               1724.5382               11.697114           9.8605832e-10           2.3249646e-16   search-116/
              0.36155898               1738.3353                11.79711           9.6422313e-10           3.4738035e-18   search-117/
              0.36299651               1752.1337               11.897105           9.4303788e-10           2.1992087e-16   search-118/
              0.36442848               1765.9331                 11.9971            9.224782e-10           2.2403449e-16   search-119/
              0.36585495               1779.7337               12.097096           9.0252256e-10           3.1032233e-18   search-120/
              0.36727598               1793.5354               12.197092           8.8314917e-10           4.3823994e-16   search-121/
              0.36869163               1807.3381               12.297087           8.6433338e-10           4.3480818e-16   search-122/
              0.37010197               1821.1419               12.397083           8.4605865e-10           2.6544495e-18   search-123/
              0.37150706               1834.9468               12.497079           8.2830438e-10           2.9081232e-18   search-124/
              0.37290694               1848.7527               12.597075            8.110502e-10           2.2104713e-16   search-125/
