      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.221155      0.215973      0.215973   2.22139e-17   7.41427e-44   2.59302e-17   4.93459e-34     0.0735524             0       6.32151      0.739476      -5.58203       11.6731
 0.22346      0.216821      0.216821   2.80085e-17   7.75267e-49   3.27586e-17   7.84475e-34     0.0738412             0       6.34633       0.74238      -5.60395        11.765
0.225741      0.217656      0.217656   6.03972e-18   7.24611e-54   1.14283e-17   3.64782e-35     0.0741257             0       6.37078       0.74524      -5.62554       11.8558
0.228002      0.218479      0.218479   2.34083e-17    1.0636e-58   2.62666e-17   5.47947e-34     0.0744059             0       6.39486      0.748057      -5.64681       11.9456
0.230241       0.21929       0.21929   6.82183e-19   7.47082e-59   1.29082e-18   4.65373e-37      0.074682             0       6.41859      0.750833      -5.66776       12.0344
 0.23246      0.220089      0.220089   2.51954e-18   3.01593e-43   4.76743e-18   6.34807e-36     0.0749541             0       6.44198      0.753569      -5.68841       12.1223
0.234658      0.220877      0.220877   5.64083e-18    1.8216e-48   6.61152e-18    3.1819e-35     0.0752224             0       6.46504      0.756266      -5.70877       12.2092
0.236838      0.221653      0.221653   1.66107e-17   1.23918e-53   1.93802e-17   2.75915e-34     0.0754869             0       6.48777      0.758925      -5.72885       12.2953
0.238998       0.22242       0.22242   2.23668e-17   1.36984e-56   2.61477e-17   5.00272e-34     0.0757478             0        6.5102      0.761549      -5.74865       12.3804
 0.24114      0.223176      0.223176   5.24114e-18   9.66313e-59   6.83458e-18   2.74696e-35     0.0760053             0       6.53233      0.764137      -5.76819       12.4647
0.243264      0.223922      0.223922   5.23602e-18    6.7438e-43   6.43208e-18   2.74159e-35     0.0762593             0       6.55416      0.766691      -5.78747       12.5482
 0.24537      0.224658      0.224658   5.46652e-18   2.41872e-48   6.37448e-18   2.98829e-35     0.0765101             0       6.57571      0.769212       -5.8065       12.6308
0.247459      0.225385      0.225385   3.02801e-19   7.82662e-54   5.72955e-19   9.16884e-38     0.0767576             0       6.59698      0.771701      -5.82528       12.7127
0.249532      0.226102      0.226102   3.18264e-17   1.80955e-42   3.64068e-17   1.01292e-33      0.077002             0       6.61799      0.774158      -5.84383       12.7938
0.251588      0.226811      0.226811   5.64618e-17   4.79013e-48      6.32e-17   3.18794e-33     0.0772435             0       6.63874      0.776585      -5.86216       12.8741
0.253628      0.227512      0.227512   2.51907e-17   1.15075e-53   2.84472e-17   6.34574e-34      0.077482             0       6.65924      0.778983      -5.88026       12.9537
0.255653      0.228203      0.228203   2.31625e-17   5.39782e-58   2.74498e-17     5.365e-34     0.0777176             0       6.67949      0.781352      -5.89814       13.0327
0.257662      0.228887      0.228887    2.3927e-17   5.33938e-58   2.69185e-17   5.72501e-34     0.0779504             0        6.6995      0.783693      -5.91581       13.1109
0.259656      0.229563      0.229563   2.18897e-19   1.50796e-43   4.14193e-19   4.79157e-38     0.0781806             0       6.71928      0.786007      -5.93328       13.1884
0.261636      0.230231      0.230231   3.37533e-17   2.45631e-49   3.96318e-17   1.13928e-33     0.0784081             0       6.73884      0.788294      -5.95054       13.2653
0.263601      0.230892      0.230892   5.59904e-18   3.64084e-55   6.54777e-18   3.13493e-35     0.0786331             0       6.75817      0.790556      -5.96761       13.3415
0.265553      0.231545      0.231545   2.24511e-17   1.50796e-43   2.62734e-17   5.04052e-34     0.0788555             0       6.77729      0.792792       -5.9845       13.4171
 0.26749      0.232191      0.232191   2.48478e-18   1.84933e-49   4.70166e-18   6.17413e-36     0.0790755             0        6.7962      0.795004      -6.00119       13.4921
0.269415       0.23283       0.23283   1.71166e-17   2.07659e-55   2.01486e-17   2.92979e-34     0.0792932             0        6.8149      0.797192      -6.01771       13.5664
0.271326      0.233462      0.233462   4.66654e-17   5.37443e-58    5.2553e-17   2.17766e-33     0.0795085             0       6.83341      0.799357      -6.03405       13.6402
0.273224      0.234088      0.234088   5.44159e-18    5.3745e-58   6.34879e-18   2.96109e-35     0.0797215             0       6.85172      0.801499      -6.05022       13.7134
 0.27511      0.234707      0.234707   4.21945e-17    5.3745e-58   4.79017e-17   1.78037e-33     0.0799324             0       6.86984      0.803619      -6.06622        13.786
0.276983       0.23532       0.23532   4.97605e-20    5.3745e-58   9.41561e-20   2.47611e-39     0.0801411             0       6.88778      0.805717      -6.08206       13.8581
0.278844      0.235926      0.235926   1.78803e-20   6.03181e-43   3.38329e-20   3.19707e-40     0.0803476             0       6.90553      0.807794      -6.09774       13.9297
0.280693      0.236527      0.236527   1.30209e-19    4.9135e-49    2.4638e-19   1.69545e-38     0.0805522             0       6.92311       0.80985      -6.11326       14.0007
 0.28253      0.237121      0.237121   3.99482e-17   2.90614e-55   4.69345e-17   1.59586e-33     0.0807547             0       6.94052      0.811886      -6.12863       14.0712
0.284356       0.23771       0.23771   4.13264e-17   5.33575e-58   4.71286e-17   1.70787e-33     0.0809552             0       6.95775      0.813902      -6.14385       14.1411
0.286171      0.238293      0.238293   5.51645e-18   5.33597e-58    6.4335e-18   3.04313e-35     0.0811538             0       6.97482      0.815899      -6.15892       14.2106
0.287975      0.238871      0.238871   1.67136e-17   5.33597e-58    1.9522e-17   2.79345e-34     0.0813506             0       6.99173      0.817877      -6.17385       14.2796
