            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0151599             0             0     0.0151599     0.0150723   0.000229822             0    0.00118514     0.0142217     0.0106663   -0.00355542    0.00501868
     0.0155428             0             0     0.0155428     0.0154513   0.000241577             0    0.00122629     0.0147155     0.0110366   -0.00367887    0.00527522
     0.0163462             0             0     0.0163462     0.0162492   0.000267199             0    0.00129509     0.0155411     0.0116558   -0.00388528    0.00583398
     0.0164669             0             0     0.0164669     0.0163674   0.000271158             0    0.00131624     0.0157949     0.0118462   -0.00394873    0.00592033
     0.0164703             0             0     0.0164703     0.0163708    0.00027127             0    0.00131608     0.0157929     0.0118447   -0.00394824    0.00592278
     0.0164703             0             0     0.0164703     0.0163708    0.00027127             0    0.00131608     0.0157929     0.0118447   -0.00394824    0.00592278
     0.0151599             0             0     0.0151599     0.0150723   0.000229822             0    0.00118514     0.0142217     0.0106663   -0.00355542    0.00501868
     0.0155428             0             0     0.0155428     0.0154513   0.000241577             0    0.00122629     0.0147155     0.0110366   -0.00367887    0.00527522
     0.0163462             0             0     0.0163462     0.0162492   0.000267199             0    0.00129509     0.0155411     0.0116558   -0.00388528    0.00583398
     0.0164669             0             0     0.0164669     0.0163674   0.000271158             0    0.00131624     0.0157949     0.0118462   -0.00394873    0.00592033
     0.0164703             0             0     0.0164703     0.0163708    0.00027127             0    0.00131608     0.0157929     0.0118447   -0.00394824    0.00592278
     0.0164703             0             0     0.0164703     0.0163708   0.000271271             0    0.00131606     0.0157927     0.0118445   -0.00394817    0.00592279
     0.0164703             0             0     0.0164703     0.0163708    0.00027127             0    0.00131605     0.0157926     0.0118445   -0.00394816    0.00592278
     0.0164703             0             0     0.0164703     0.0163708    0.00027127             0    0.00131605     0.0157926     0.0118445   -0.00394816    0.00592278
     0.0151599             0             0     0.0151599     0.0150723   0.000229822             0    0.00118514     0.0142217     0.0106663   -0.00355542    0.00501868
     0.0150333             0             0     0.0150333     0.0149482   0.000225999             0    0.00116285     0.0139542     0.0104657   -0.00348856    0.00493526
     0.0151599             0             0     0.0151599     0.0150723   0.000229822             0    0.00118514     0.0142217     0.0106663   -0.00355542    0.00501868
     0.0150333             0             0     0.0150333     0.0149482   0.000225999             0    0.00116285     0.0139542     0.0104657   -0.00348856    0.00493526
     0.0150031             0             0     0.0150031      0.014918   0.000225094             0     0.0011624     0.0139488     0.0104616    -0.0034872    0.00491552
     0.0150036             0             0     0.0150036     0.0149185   0.000225108             0    0.00116181     0.0139417     0.0104563   -0.00348543    0.00491584
     0.0150035             0             0     0.0150035     0.0149185   0.000225106             0     0.0011618     0.0139416     0.0104562    -0.0034854     0.0049158
     0.0150035             0             0     0.0150035     0.0149185   0.000225106             0     0.0011618     0.0139416     0.0104562    -0.0034854     0.0049158
     0.0151599             0             0     0.0151599     0.0150723   0.000229822             0    0.00118514     0.0142217     0.0106663   -0.00355542    0.00501868
     0.0150333             0             0     0.0150333     0.0149482   0.000225999             0    0.00116285     0.0139542     0.0104657   -0.00348856    0.00493526
     0.0150031             0             0     0.0150031      0.014918   0.000225094             0     0.0011624     0.0139488     0.0104616    -0.0034872    0.00491552
     0.0150036             0             0     0.0150036     0.0149185   0.000225108             0    0.00116181     0.0139417     0.0104563   -0.00348543    0.00491584
     0.0150035             0             0     0.0150035     0.0149185   0.000225106             0     0.0011618     0.0139416     0.0104562    -0.0034854     0.0049158
     0.0150035             0             0     0.0150035     0.0149185   0.000225106             0     0.0011618     0.0139416     0.0104562    -0.0034854     0.0049158
