            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0194764             0             0     0.0194764     0.0193413   0.000379332             0     0.0016676     0.0200112     0.0150084   -0.00500281    0.00828032
     0.0195353             0             0     0.0195353     0.0193994   0.000381629             0    0.00167535     0.0201042     0.0150781   -0.00502604    0.00833046
     0.0195398             0             0     0.0195398     0.0194038   0.000381804             0    0.00167598     0.0201118     0.0150839   -0.00502795    0.00833427
     0.0195398             0             0     0.0195398     0.0194037   0.000381802             0    0.00167598     0.0201117     0.0150838   -0.00502793    0.00833423
     0.0178177             0             0     0.0178177     0.0177036    0.00031747             0    0.00146609      0.017593     0.0131948   -0.00439826    0.00693061
     0.0178365             0             0     0.0178365     0.0177221   0.000318141             0    0.00146853     0.0176224     0.0132168   -0.00440559    0.00694525
     0.0178367             0             0     0.0178367     0.0177223   0.000318146             0     0.0014685     0.0176219     0.0132165   -0.00440549    0.00694537
     0.0178367             0             0     0.0178367     0.0177223   0.000318147             0     0.0014685      0.017622     0.0132165   -0.00440549    0.00694537
