      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
 -0.0106     0.0169169             0             0     0.0169169     0.0167856   0.000286182             0    0.00153189     0.0183827      0.013787   -0.00459566    0.00625224
 -0.0108     0.0171784             0             0     0.0171784     0.0170433   0.000295096             0     0.0015655      0.018786     0.0140895   -0.00469651    0.00644682
  -0.011     0.0174471             0             0     0.0174471     0.0173082   0.000304403             0    0.00160025      0.019203     0.0144022   -0.00480075    0.00664994
 -0.0112     0.0177247             0             0     0.0177247     0.0175817   0.000314164             0    0.00163617     0.0196341     0.0147256   -0.00490852    0.00686299
 -0.0114      0.018012             0             0      0.018012     0.0178648   0.000324433             0    0.00167352     0.0200823     0.0150617   -0.00502057    0.00708711
 -0.0116     0.0183105             0             0     0.0183105     0.0181588   0.000335273             0    0.00171246     0.0205495     0.0154121   -0.00513738    0.00732369
 -0.0118     0.0186215             0             0     0.0186215     0.0184652   0.000346761             0    0.00175318     0.0210381     0.0157786   -0.00525953    0.00757441
  -0.012     0.0189471             0             0     0.0189471     0.0187859   0.000358993             0      0.001796      0.021552      0.016164     -0.005388    0.00784136
 -0.0122     0.0192897             0             0     0.0192897     0.0191233   0.000372094             0     0.0018412     0.0220944     0.0165708    -0.0055236    0.00812726
 -0.0124     0.0196525             0             0     0.0196525     0.0194805   0.000386219             0    0.00188928     0.0226713     0.0170035   -0.00566783    0.00843551
 -0.0126     0.0200396             0             0     0.0200396     0.0198616   0.000401585             0    0.00194081     0.0232898     0.0174673   -0.00582244    0.00877083
 -0.0128     0.0204571             0             0     0.0204571     0.0202726   0.000418494             0    0.00199669     0.0239602     0.0179702   -0.00599006    0.00913981
  -0.013     0.0209139             0             0     0.0209139     0.0207221   0.000437393             0    0.00205814     0.0246976     0.0185232   -0.00617441     0.0095522
 -0.0132     0.0214237             0             0     0.0214237     0.0212236   0.000458975             0    0.00212716     0.0255259     0.0191444   -0.00638147     0.0100231
 -0.0134     0.0220117             0             0     0.0220117      0.021802   0.000484517             0    0.00220732     0.0264879     0.0198659   -0.00662197     0.0105805
 -0.0136     0.0227309             0             0     0.0227309     0.0225092   0.000516696             0    0.00230635     0.0276762     0.0207571   -0.00691905     0.0112826
 -0.0138     0.0237569             0             0     0.0237569     0.0235176   0.000564388             0    0.00244926     0.0293911     0.0220433   -0.00734778     0.0123231
 -0.0139     0.0247551             0             0     0.0247551     0.0244981   0.000612816             0    0.00259085     0.0310902     0.0233176   -0.00777255     0.0133797
-0.0139118     0.0250532             0             0     0.0250532     0.0247908   0.000627663             0    0.00263372     0.0316046     0.0237034   -0.00790115     0.0137036
-0.0139147     0.0251903             0             0     0.0251903     0.0249254   0.000634552             0     0.0026535      0.031842     0.0238815   -0.00796051     0.0138539
-0.0139162     0.0253856             0             0     0.0253856     0.0251171   0.000644431             0    0.00268178     0.0321813      0.024136   -0.00804534     0.0140695
-0.0139163     0.0253288             0             0     0.0253288     0.0250613   0.000641546             0    0.00267352     0.0320823     0.0240617   -0.00802057     0.0140065
-0.0139163     0.0253717             0             0     0.0253717     0.0251035   0.000643725             0    0.00267966      0.032156      0.024117   -0.00803899     0.0140541
-0.0139151     0.0254727             0             0     0.0254727     0.0252025   0.000648856             0    0.00269443     0.0323331     0.0242498   -0.00808328      0.014166
-0.0139062      0.024887             0             0      0.024887     0.0246276   0.000619364             0     0.0026098     0.0313176     0.0234882    -0.0078294     0.0135226
-0.0138927     0.0246354             0             0     0.0246354     0.0243806   0.000606904             0    0.00257377     0.0308852     0.0231639   -0.00772131     0.0132507
-0.0138825       0.02621             0             0       0.02621     0.0259259   0.000686967             0    0.00280273     0.0336327     0.0252245   -0.00840818     0.0149975
-0.0138685      0.026376             0             0      0.026376     0.0260887   0.000695693             0    0.00282733      0.033928      0.025446   -0.00848199     0.0151878
-0.0138431     0.0266269             0             0     0.0266269     0.0263346   0.000708989             0     0.0028648     0.0343776     0.0257832   -0.00859441     0.0154779
-0.0138287     0.0267522             0             0     0.0267522     0.0264576   0.000715682             0     0.0028836     0.0346033     0.0259524   -0.00865081     0.0156239
-0.013813      0.026873             0             0      0.026873     0.0265759   0.000722156             0    0.00290183     0.0348219     0.0261165   -0.00870549     0.0157652
-0.0137952     0.0270027             0             0     0.0270027      0.026703   0.000729143             0    0.00292146     0.0350575     0.0262931   -0.00876437     0.0159176
-0.013778      0.027119             0             0      0.027119      0.026817   0.000735443             0    0.00293916     0.0352699     0.0264524   -0.00881747     0.0160551
-0.0137608     0.0272287             0             0     0.0272287     0.0269245   0.000741403             0    0.00295589     0.0354707      0.026603   -0.00886767     0.0161851
-0.0137436     0.0273324             0             0     0.0273324     0.0270261   0.000747062             0    0.00297177     0.0356612     0.0267459   -0.00891531     0.0163086
-0.0137265      0.027431             0             0      0.027431     0.0271226   0.000752461             0    0.00298693     0.0358432     0.0268824   -0.00896079     0.0164264
-0.0137094     0.0275256             0             0     0.0275256     0.0272152   0.000757656             0    0.00300152     0.0360182     0.0270137   -0.00900455     0.0165397
-0.0136924     0.0276168             0             0     0.0276168     0.0273046    0.00076269             0    0.00301577     0.0361893      0.027142   -0.00904732     0.0166495
-0.0136754      0.027704             0             0      0.027704     0.0273899   0.000767512             0    0.00302929     0.0363514     0.0272636   -0.00908786     0.0167547
-0.0136585     0.0277883             0             0     0.0277883     0.0274724   0.000772188             0    0.00304241     0.0365089     0.0273817   -0.00912723     0.0168567
-0.0136415     0.0278703             0             0     0.0278703     0.0275527   0.000776752             0    0.00305522     0.0366626      0.027497   -0.00916565     0.0169563
-0.0136247     0.0279492             0             0     0.0279492       0.02763    0.00078116             0     0.0030676     0.0368113     0.0276084   -0.00920281     0.0170525
-0.0136078     0.0280262             0             0     0.0280262     0.0277052   0.000785466             0    0.00307969     0.0369563     0.0277172   -0.00923908     0.0171464
-0.013591     0.0281011             0             0     0.0281011     0.0277786   0.000789671             0    0.00309152     0.0370982     0.0278237   -0.00927456     0.0172382
-0.0135743     0.0281744             0             0     0.0281744     0.0278503   0.000793795             0    0.00310312     0.0372375     0.0279281   -0.00930937     0.0173281
-0.0135575     0.0282457             0             0     0.0282457     0.0279201   0.000797821             0    0.00311447     0.0373736     0.0280302    -0.0093434      0.017416
-0.0135408     0.0283154             0             0     0.0283154     0.0279882   0.000801764             0    0.00312557     0.0375068     0.0281301   -0.00937671      0.017502
-0.0135242     0.0283838             0             0     0.0283838     0.0280551   0.000805641             0     0.0031365      0.037638     0.0282285   -0.00940951     0.0175866
-0.0135075      0.028451             0             0      0.028451     0.0281208   0.000809461             0    0.00314729     0.0377675     0.0283256   -0.00944188     0.0176699
-0.0134909     0.0285169             0             0     0.0285169     0.0281852   0.000813211             0    0.00315789     0.0378947      0.028421   -0.00947367     0.0177518
-0.0134743     0.0285813             0             0     0.0285813     0.0282482   0.000816892             0    0.00316829     0.0380195     0.0285146   -0.00950488     0.0178321
-0.0134577     0.0286449             0             0     0.0286449     0.0283104   0.000820531             0     0.0031786     0.0381432     0.0286074   -0.00953581     0.0179115
-0.0134412     0.0287074             0             0     0.0287074     0.0283715   0.000824116             0    0.00318877     0.0382652     0.0286989   -0.00956631     0.0179897
-0.0134246     0.0287689             0             0     0.0287689     0.0284316   0.000827649             0     0.0031988     0.0383855     0.0287892   -0.00959639     0.0180668
-0.0134081     0.0288296             0             0     0.0288296     0.0284909   0.000831144             0    0.00320872     0.0385047     0.0288785   -0.00962616      0.018143
-0.0133916     0.0288893             0             0     0.0288893     0.0285492   0.000834593             0    0.00321854     0.0386224     0.0289668   -0.00965561     0.0182183
-0.0133751     0.0289487             0             0     0.0289487     0.0286073   0.000838029             0    0.00322833       0.03874      0.029055   -0.00968499     0.0182933
-0.0133586      0.029007             0             0      0.029007     0.0286642   0.000841406             0    0.00323796     0.0388555     0.0291417   -0.00971388      0.018367
