            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
      0.107696   1.08176e-50   3.11309e-34      0.107696     0.0944969     0.0115984             0     0.0301989      0.445713       0.15399     -0.291723      0.449223
      0.107696   1.48348e-50   1.58138e-34      0.107696     0.0944969     0.0115984             0     0.0301989      0.445713       0.15399     -0.291723      0.449222
      0.107696   1.02076e-51   9.33547e-36      0.107696     0.0944969     0.0115984             0     0.0301989      0.445712       0.15399     -0.291723      0.449222
      0.107696   4.39323e-52   4.96952e-35      0.107696     0.0944969     0.0115984             0     0.0301989      0.445712       0.15399     -0.291723      0.449222
      0.107727             0    3.7072e-36      0.107727     0.0945201      0.011605             0     0.0302115      0.445899      0.154054     -0.291845      0.449479
      0.289718             0   3.08763e-35      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289734   9.09689e-51   3.18224e-34      0.289734      0.217073      0.083946             0      0.112179       1.65567      0.572022      -1.08365       3.24874
      0.289861   2.34986e-46   5.41081e-30      0.289861       0.21503     0.0840192             0      0.113626       1.67703      0.579399      -1.09763       3.25136
      0.289718             0   3.24506e-33      0.289718      0.217056     0.0839363             0      0.112175       1.65562      0.572004      -1.08362       3.24837
      0.289734   3.21423e-49   2.89165e-32      0.289734      0.217073      0.083946             0      0.112179       1.65567      0.572022      -1.08365       3.24874
       0.28986   1.56775e-44   1.23854e-28       0.28986      0.215042     0.0840187             0      0.113618       1.67691      0.579358      -1.09755       3.25134
      0.342758             0             0      0.342758      0.260759      0.117483             0      0.161998       1.94398       1.45799     -0.485995       2.55212
      0.342758             0             0      0.342758      0.260759      0.117483             0      0.161998       1.94398       1.45799     -0.485995       2.55212
      0.344973             0             0      0.344973      0.258454      0.119007             0      0.166392        1.9967       1.49753     -0.499176       2.59412
      0.344999             0             0      0.344999      0.258464      0.119024             0      0.166411       1.99694        1.4977     -0.499234        2.5945
      0.345022             0             0      0.345022      0.257908       0.11904             0      0.166894       2.00273       1.50205     -0.500683       2.59478
       0.34503             0             0       0.34503      0.257826      0.119045             0      0.166969       2.00363       1.50272     -0.500908       2.59488
      0.345076             0             0      0.345076      0.257048      0.119077             0      0.167654       2.01185       1.50889     -0.502963       2.59548
      0.345081             0             0      0.345081      0.257019      0.119081             0      0.167684        2.0122       1.50915     -0.503051       2.59555
      0.344973             0             0      0.344973      0.258454      0.119007             0      0.166392        1.9967       1.49753     -0.499176       2.59412
      0.344973             0             0      0.344973      0.258454      0.119007             0      0.166392        1.9967       1.49753     -0.499176       2.59412
      0.344999             0             0      0.344999      0.258464      0.119024             0      0.166411       1.99694        1.4977     -0.499234        2.5945
      0.345022             0             0      0.345022      0.257908       0.11904             0      0.166894       2.00273       1.50205     -0.500683       2.59478
       0.34503             0             0       0.34503      0.257826      0.119045             0      0.166969       2.00363       1.50272     -0.500908       2.59488
      0.345076             0             0      0.345076      0.257048      0.119077             0      0.167654       2.01185       1.50889     -0.502963       2.59548
      0.344973             0             0      0.344973      0.258454      0.119007             0      0.166392        1.9967       1.49753     -0.499176       2.59412
