            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0184319             0             0     0.0184319     0.0183109   0.000339736             0    0.00153575      0.018429     0.0138217   -0.00460724    0.00741632
      0.018777             0             0      0.018777     0.0186514   0.000352578             0    0.00157921     0.0189505     0.0142129   -0.00473762    0.00769654
     0.0188514             0             0     0.0188514     0.0187246   0.000355374             0    0.00158914     0.0190697     0.0143023   -0.00476743    0.00775758
     0.0184329             0             0     0.0184329     0.0183118   0.000339771             0    0.00153589     0.0184307      0.013823   -0.00460767     0.0074171
      0.018777             0             0      0.018777     0.0186514   0.000352577             0    0.00157921     0.0189505     0.0142129   -0.00473763    0.00769653
     0.0188512             0             0     0.0188512     0.0187244   0.000355367             0    0.00158912     0.0190695     0.0143021   -0.00476736    0.00775741
     0.0188545             0             0     0.0188545     0.0187278   0.000355494             0    0.00158958      0.019075     0.0143062   -0.00476874    0.00776018
     0.0188545             0             0     0.0188545     0.0187278   0.000355494             0    0.00158958      0.019075     0.0143063   -0.00476875    0.00776018
     0.0188545             0             0     0.0188545     0.0187278   0.000355494             0    0.00158959      0.019075     0.0143063   -0.00476876    0.00776019
     0.0150709             0             0     0.0150709     0.0149852   0.000227131             0    0.00116871     0.0140245     0.0105184   -0.00350612    0.00495997
     0.0150709             0             0     0.0150709     0.0149852   0.000227131             0    0.00116871     0.0140245     0.0105184   -0.00350612    0.00495997
     0.0157376             0             0     0.0157376     0.0156455   0.000247673             0    0.00123795     0.0148554     0.0111415   -0.00371384    0.00540804
     0.0157384             0             0     0.0157384     0.0156463   0.000247698             0    0.00123805     0.0148566     0.0111424   -0.00371414    0.00540859
     0.0157384             0             0     0.0157384     0.0156463   0.000247698             0    0.00123804     0.0148565     0.0111424   -0.00371413     0.0054086
