      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.053099      0.191853             0             0      0.191853      0.163284     0.0368077             0     0.0733512      0.880214       0.66016     -0.220053       0.80305
0.054099      0.192728             0             0      0.192728      0.163955     0.0371439             0     0.0737719      0.885263      0.663948     -0.221316       0.81038
0.0550989      0.193597             0             0      0.193597      0.164621     0.0374797             0     0.0741913      0.890296      0.667722     -0.222574        0.8177
0.0560989      0.194461             0             0      0.194461      0.165282      0.037815             0     0.0746093      0.895312      0.671484     -0.223828      0.825009
0.0570989       0.19532             0             0       0.19532      0.165938     0.0381499             0      0.075026      0.900312      0.675234     -0.225078      0.832308
0.0580989      0.196174             0             0      0.196174      0.166589     0.0384843             0     0.0754414      0.905296      0.678972     -0.226324      0.839598
0.0590989      0.197024             0             0      0.197024      0.167236     0.0388183             0     0.0758555      0.910266        0.6827     -0.227567      0.846878
0.0600989      0.197868             0             0      0.197868      0.167878     0.0391518             0     0.0762685      0.915221      0.686416     -0.228805      0.854149
0.0610989      0.198708             0             0      0.198708      0.168515      0.039485             0     0.0766802      0.920163      0.690122     -0.230041      0.861412
0.0620988      0.199544             0             0      0.199544      0.169148     0.0398178             0     0.0770909      0.925091      0.693818     -0.231273      0.868666
0.0630988      0.200375             0             0      0.200375      0.169776     0.0401503             0     0.0775005      0.930006      0.697505     -0.232502      0.875912
0.0640988      0.201202             0             0      0.201202      0.170401     0.0404823             0     0.0779091      0.934909      0.701182     -0.233727      0.883149
0.0650988      0.202025             0             0      0.202025      0.171021     0.0408141             0     0.0783166      0.939799      0.704849      -0.23495       0.89038
0.0660988      0.202843             0             0      0.202843      0.171636     0.0411454             0     0.0787232      0.944678      0.708509      -0.23617      0.897603
0.0670988      0.203658             0             0      0.203658      0.172248     0.0414765             0     0.0791288      0.949546      0.712159     -0.237386      0.904818
0.0680987      0.204468             0             0      0.204468      0.172855     0.0418073             0     0.0795335      0.954402      0.715802     -0.238601      0.912027
0.0690987      0.205275             0             0      0.205275      0.173459     0.0421377             0     0.0799374      0.959248      0.719436     -0.239812      0.919229
0.0700987      0.206077             0             0      0.206077      0.174059     0.0424679             0     0.0803404      0.964084      0.723063     -0.241021      0.926424
0.0710987      0.206876             0             0      0.206876      0.174654     0.0427977             0     0.0807425       0.96891      0.726683     -0.242228      0.933614
0.0720987      0.207671             0             0      0.207671      0.175246     0.0431273             0     0.0811439      0.973727      0.730295     -0.243432      0.940797
0.0730987      0.208463             0             0      0.208463      0.175834     0.0434567             0     0.0815445      0.978535      0.733901     -0.244634      0.947974
0.0740987       0.20925             0             0       0.20925      0.176418     0.0437858             0     0.0819444      0.983333        0.7375     -0.245833      0.955146
0.0750986      0.210035             0             0      0.210035      0.176999     0.0441146             0     0.0823436      0.988123      0.741093     -0.247031      0.962312
0.0760986      0.210816             0             0      0.210816      0.177576     0.0444432             0     0.0827421      0.992905      0.744679     -0.248226      0.969472
0.0770986      0.211593             0             0      0.211593      0.178149     0.0447716             0     0.0831399      0.997679      0.748259      -0.24942      0.976628
0.0780986      0.212367             0             0      0.212367      0.178719     0.0450997             0     0.0835371       1.00245      0.751834     -0.250611      0.983778
0.0790986      0.213138             0             0      0.213138      0.179285     0.0454276             0     0.0839337        1.0072      0.755403     -0.251801      0.990924
0.0800986      0.213905             0             0      0.213905      0.179847     0.0457553             0     0.0843297       1.01196      0.758967     -0.252989      0.998065
0.0810986      0.214669             0             0      0.214669      0.180407     0.0460828             0     0.0847251        1.0167      0.762526     -0.254175        1.0052
0.0820986       0.21543             0             0       0.21543      0.180962     0.0464101             0     0.0851199       1.02144       0.76608      -0.25536       1.01233
0.0830985      0.216188             0             0      0.216188      0.181515     0.0467373             0     0.0855143       1.02617      0.769628     -0.256543       1.01946
