                      %P                     obs                       s                guesserr                   error     directory
             0.052451796               41.485127                7.608973           2.8559358e-08            4.412402e-14   search-75/
             0.052832089               42.021775                7.708962           9.6922277e-09           9.6922281e-09   search-76/
             0.053210073               42.559012               7.8089574           2.9204068e-08           4.5067715e-14   search-77/
             0.053585743                43.09672               7.9089406           2.8958397e-08           4.6253461e-14   search-78/
             0.053959206               43.634985               8.0089303           9.8097468e-09           9.8097472e-09   search-79/
             0.054330477               44.173802               8.1089265           2.9545472e-08           4.7177393e-14   search-80/
             0.054699545                44.71305               8.2089103           2.9321286e-08            4.830688e-14   search-81/
             0.055066516               45.252822               8.3089006           9.9170094e-09           9.9170098e-09   search-82/
             0.055431401                45.79311               8.4088975            2.985738e-08           4.9133348e-14   search-83/
             0.055794186               46.333795               8.5088817            2.965222e-08           5.0152114e-14   search-84/
             0.056154976               46.874985               8.6088748           1.0015165e-08           1.6990609e-14   search-85/
             0.056513762                47.41661               8.7088658            9.975411e-11           9.9754101e-11   search-86/
             0.056870583               47.958674                8.808857           3.9625519e-10           3.9625513e-10   search-87/
             0.057225471               48.501166               8.9088484           9.8372888e-10           9.8372877e-10   search-88/
             0.057578455               49.044077                 9.00884           1.9537792e-09            1.953779e-09   search-89/
             0.057929564               49.587399               9.1088317           3.3954912e-09           3.3954909e-09   search-90/
             0.058278825               50.131122               9.2088236            5.395531e-09           5.3955305e-09   search-91/
             0.058626268               50.675238               9.3088156           8.0382426e-09           8.0382418e-09   search-92/
             0.058971918               51.219756               9.4088104           1.1405739e-08           9.2694369e-15   search-93/
             0.059315784               51.764613               9.5087984           1.8640779e-08           1.5139299e-14   search-94/
             0.059657931               52.309861               9.6087909           8.1161936e-09           8.1161929e-09   search-95/
             0.059998367               52.855505               9.7087891           2.4425567e-08            1.965193e-14   search-96/
             0.060337081               53.401442               9.8087763           2.4276225e-08           1.9178424e-14   search-97/
             0.060674152               53.947756               9.9087692           8.1878062e-09           8.1878054e-09   search-98/
             0.061009585               54.494446               10.008768           2.4634672e-08           1.9147121e-14   search-99/
