            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0191243             0             0     0.0191243     0.0189941   0.000365738             0    0.00162194     0.0194632     0.0145974   -0.00486581    0.00798368
     0.0193421             0             0     0.0193421     0.0192089   0.000374116             0    0.00165019     0.0198023     0.0148517   -0.00495057    0.00816651
     0.0193968             0             0     0.0193968     0.0192628   0.000376238             0    0.00165755     0.0198906      0.014918   -0.00497266    0.00821281
        0.0194             0             0        0.0194     0.0192659   0.000376359             0    0.00165798     0.0198957     0.0149218   -0.00497393    0.00821545
        0.0194             0             0        0.0194      0.019266   0.000376361             0    0.00165799     0.0198958     0.0149219   -0.00497396    0.00821551
     0.0164681             0             0     0.0164681     0.0163687   0.000271198             0    0.00131578     0.0157894     0.0118421   -0.00394735     0.0059212
     0.0164702             0             0     0.0164702     0.0163707   0.000271267             0    0.00131605     0.0157926     0.0118444   -0.00394814    0.00592271
     0.0164702             0             0     0.0164702     0.0163707   0.000271267             0    0.00131604     0.0157925     0.0118444   -0.00394813    0.00592272
     0.0164702             0             0     0.0164702     0.0163708   0.000271267             0    0.00131604     0.0157925     0.0118444   -0.00394813    0.00592272
