      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
-0.0124307     0.0402177             0             0     0.0402177     0.0394345    0.00161746             0    0.00575167       0.06902      0.051765     -0.017255      0.035309
-0.0124277     0.0401771             0             0     0.0401771     0.0393971     0.0016142             0    0.00573709     0.0688451     0.0516338    -0.0172113     0.0352377
-0.0124262     0.0401535             0             0     0.0401535     0.0393754    0.00161231             0    0.00572869     0.0687443     0.0515582    -0.0171861     0.0351963
-0.0124252     0.0400865             0             0     0.0400865     0.0393134    0.00160693             0    0.00570547     0.0684657     0.0513492    -0.0171164     0.0350787
-0.0124253      0.040143             0             0      0.040143     0.0393657    0.00161146             0    0.00572479     0.0686975     0.0515231    -0.0171744     0.0351778
-0.0124315      0.040221             0             0      0.040221     0.0394376    0.00161773             0    0.00575303     0.0690363     0.0517772    -0.0172591     0.0353149
-0.0124778     0.0396774             0             0     0.0396774     0.0389306    0.00157429             0    0.00557945     0.0669534     0.0502151    -0.0167384     0.0343658
-0.0125438     0.0394103             0             0     0.0394103     0.0386782    0.00155317             0    0.00550624     0.0660749     0.0495562    -0.0165187     0.0339045
-0.0127556      0.040705             0             0      0.040705     0.0398649     0.0016569             0    0.00599118     0.0718942     0.0539207    -0.0179736     0.0361728
-0.0128461     0.0407472             0             0     0.0407472     0.0398985    0.00166034             0    0.00602454     0.0722945     0.0542209    -0.0180736     0.0362483
-0.0130237     0.0408091             0             0     0.0408091     0.0399455    0.00166538             0     0.0060813     0.0729756     0.0547317    -0.0182439     0.0363595
-0.0131754     0.0408524             0             0     0.0408524     0.0399771    0.00166892             0    0.00612512     0.0735014     0.0551261    -0.0183754     0.0364374
-0.0133258     0.0408931             0             0     0.0408931     0.0400068    0.00167224             0    0.00616636     0.0739963     0.0554972    -0.0184991     0.0365107
-0.0134591     0.0409319             0             0     0.0409319     0.0400359    0.00167542             0    0.00620245     0.0744294      0.055822    -0.0186073     0.0365806
-0.0135979     0.0409785             0             0     0.0409785     0.0400724    0.00167924             0    0.00624056     0.0748867     0.0561651    -0.0187217     0.0366645
-0.0137191     0.0410282             0             0     0.0410282      0.040113    0.00168332             0    0.00627534      0.075304      0.056478     -0.018826     0.0367541
-0.0138334     0.0410852             0             0     0.0410852     0.0401611    0.00168799             0    0.00630999     0.0757198     0.0567899      -0.01893     0.0368566
-0.0139614      0.041167             0             0      0.041167     0.0402321    0.00169472             0     0.0063526     0.0762312     0.0571734    -0.0190578      0.037004
-0.0140785     0.0412631             0             0     0.0412631     0.0403175    0.00170264             0    0.00639616      0.076754     0.0575655    -0.0191885     0.0371772
-0.0141935     0.0413871             0             0     0.0413871     0.0404295    0.00171289             0    0.00644563     0.0773476     0.0580107    -0.0193369     0.0374013
-0.0143087     0.0415549             0             0     0.0415549     0.0405833    0.00172681             0    0.00650528     0.0780633     0.0585475    -0.0195158     0.0377054
-0.0144254      0.041801             0             0      0.041801     0.0408116    0.00174732             0    0.00658368     0.0790042     0.0592531     -0.019751     0.0381534
-0.0144794     0.0419608             0             0     0.0419608     0.0409608    0.00176071             0    0.00663112     0.0795734       0.05968    -0.0198933     0.0384457
-0.0145618     0.0423316             0             0     0.0423316     0.0413092    0.00179196             0     0.0067341     0.0808092     0.0606069    -0.0202023      0.039128
-0.0146023     0.0426878             0             0     0.0426878     0.0416455    0.00182225             0    0.00682753     0.0819303     0.0614478    -0.0204826      0.039789
-0.0146103     0.0428175             0             0     0.0428175     0.0417681    0.00183334             0    0.00686066     0.0823279     0.0617459     -0.020582     0.0400309
