            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0202236             0             0     0.0202236     0.0200776   0.000408995             0    0.00176633      0.021196      0.015897   -0.00529899    0.00892766
     0.0201115             0             0     0.0201115     0.0199671   0.000404472             0    0.00175186     0.0210223     0.0157667   -0.00525557    0.00882896
     0.0200961             0             0     0.0200961     0.0199519   0.000403853             0    0.00174981     0.0209977     0.0157483   -0.00524942    0.00881545
     0.0200957             0             0     0.0200957     0.0199515   0.000403837             0    0.00174975      0.020997     0.0157478   -0.00524926     0.0088151
      0.019677             0             0      0.019677      0.019539   0.000387183             0    0.00169374     0.0203248     0.0152436   -0.00508121    0.00845165
     0.0197397             0             0     0.0197397     0.0196009   0.000389657             0    0.00170208     0.0204249     0.0153187   -0.00510623    0.00850564
     0.0197513             0             0     0.0197513     0.0196123   0.000390114             0    0.00170362     0.0204435     0.0153326   -0.00511087    0.00851562
     0.0197509             0             0     0.0197509     0.0196119     0.0003901             0    0.00170358     0.0204429     0.0153322   -0.00511073    0.00851531
