                      %P                     obs                       s                guesserr                   error     directory
             0.093060921               1278.3405               6.3956057           1.2158033e-07           2.5246816e-11   search-75/
             0.090369611               1316.7412               6.4957392           1.2894962e-07           3.7570772e-11   search-76/
             0.087572299               1354.5994               6.5958721           1.3528163e-07           5.7366721e-11   search-77/
             0.084672907               1391.8172               6.6960045           1.4064902e-07           6.2760489e-11   search-78/
             0.081675472               1428.2975               6.7961363           1.4378753e-07           6.0826661e-11   search-79/
             0.078584138                1463.944               6.8962677           1.4365379e-07           7.7353429e-11   search-80/
             0.075403151               1498.6615               6.9963985           1.3836059e-07           1.4936109e-12   search-81/
             0.072136853               1532.3564               7.0965289           1.2548045e-07           1.4270084e-12   search-82/
             0.068789676               1564.9372               7.1966588           1.0017158e-07           3.1494028e-12   search-83/
              0.06536614               1596.3146               7.2967882           5.6710427e-08           8.0238301e-12   search-84/
             0.061870846               1626.4017               7.3969171           1.4972424e-08           5.5179658e-12   search-85/
             0.058308474                1655.115               7.4970457           1.3037856e-07           2.3318648e-12   search-86/
             0.054683784               1682.3738               7.5971738           3.1408682e-07           7.6757905e-12   search-87/
             0.051001615                1708.101               7.6973016           6.0754064e-07           1.9441963e-11   search-88/
             0.047266897               1732.2233                7.797429           1.0798609e-06           2.8288938e-11   search-89/
             0.043484668               1754.6707               7.8975564           1.8545035e-06           5.9587512e-11   search-90/
             0.039660122               1775.3771               7.9976838           3.1603713e-06           3.5716522e-11   search-91/
              0.03579871               1794.2794               8.0978117           5.4538389e-06           5.4756242e-11   search-92/
             0.031906406               1811.3164               8.1979411           9.7331628e-06           5.3431414e-11   search-93/
             0.027985463               1826.4422               8.2982046           1.8533291e-05           8.4313033e-11   search-94/
             0.025527131               1834.8801                8.360899           1.6725838e-05           4.5516468e-11   search-95/
             0.023482042               1841.2765               8.4131035           1.7709547e-05           7.7264453e-11   search-96/
             0.021917539               1845.7748               8.4533192           1.9532256e-05           4.6637586e-11   search-97/
             0.020997435               1848.2504               8.4775513           1.7466617e-05            7.910832e-11   search-98/
             0.020500109               1849.5534                8.492641           1.7372863e-05           7.4901115e-11   search-99/
