      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.105825       2.20782      0.490177             0       2.15272       2.13379       4.63421      0.406172      0.175919       4.42497       1.02908      -3.39589       104.498
0.107773       2.36366      0.524773   1.79161e-19       2.30467       2.28438        5.3115      0.434838      0.189595       4.72405       1.09077      -3.63328       119.754
0.109582       2.52277      0.560094             0       2.45981       2.43812       6.05065      0.464106      0.203708       5.02784       1.15246      -3.87539       136.401
0.111251        2.6849      0.596085             0       2.61789       2.59479       6.85337      0.493929      0.218231       5.33592       1.21409      -4.12183       154.475
0.112777        2.8498      0.632691   9.11873e-19       2.77868       2.75413       7.72108      0.524262       0.23314       5.64783        1.2756      -4.37223        174.01
0.114159       3.01722      0.669854   9.11873e-19       2.94193       2.91589       8.65493      0.555056      0.248407       5.96313       1.33692      -4.62621        195.03
0.115393        3.1869      0.707518             0       3.10737       3.07984       9.65577      0.586265      0.264006       6.28137       1.39798      -4.88339       217.555
 0.11648       3.35858      0.745625             0       3.27477       3.24571       10.7241      0.617842      0.279911        6.6021       1.45871      -5.14338       241.595
0.117417         3.532      0.784118             0       3.44387       3.41326       11.8602      0.649738      0.296096       6.92484       1.51905      -5.40579       267.156
0.118204       3.70691      0.822938             0       3.61441       3.58224       13.0639      0.681905      0.312534       7.24914       1.57891      -5.67023       294.234
 0.11884       3.88303      0.862028             0       3.78614        3.7524       14.3348      0.714296        0.3292       7.57454       1.63823      -5.93631       322.819
0.119324       4.06011       0.90133             0        3.9588       3.92347       15.6721      0.746862      0.346067       7.90056       1.69693      -6.20363       352.893
0.119656       4.23789      0.940786             0       4.13214       4.09521       17.0746      0.779556       0.36311       8.22673       1.75492       -6.4718        384.43
0.119835        4.4161      0.980338             0       4.30592       4.26738       18.5409      0.812329      0.380303       8.55259       1.81215      -6.74044       417.396
0.119862        4.5945       1.01993             0       4.47986       4.43971       20.0692      0.845135       0.39762       8.87767       1.86852      -7.00915       451.752
0.119738       4.77281        1.0595             0       4.65373       4.61196       21.6572      0.877925      0.415036       9.20151       1.92395      -7.27755       487.446
0.119461        4.9508         1.099   3.58323e-19       4.82727       4.78388       23.3026      0.910653      0.432526       9.52363       1.97838      -7.54525       524.424
0.119034       5.12819       1.13836             0       5.00024       4.95523       25.0024      0.943271      0.450065       9.84359       2.03173      -7.81187       562.622
0.118458       5.30474       1.17754             0        5.1724       5.12576       26.7537      0.975734      0.467629       10.1609        2.0839      -8.07703       601.969
0.117732       5.48021       1.21647   1.82375e-18       5.34349       5.29524       28.5529         1.008      0.485194       10.4752       2.13484      -8.34035       642.388
0.116859       5.65434       1.25511             0       5.51328       5.46342       30.3962       1.04001      0.502737       10.7859       2.18445      -8.60147       683.795
0.115841        5.8269        1.2934   1.82375e-18       5.68153       5.63008       32.2798       1.07174      0.520233       11.0927       2.23266      -8.86003       726.099
0.114678       5.99764       1.33128   7.08063e-19       5.84802       5.79498       34.1994       1.10313      0.537661        11.395       2.27939      -9.11565       769.205
0.113374       6.16634       1.36871   1.13312e-18       6.01251        5.9579       36.1503       1.13414      0.554998       11.6926       2.32457        -9.368        813.01
0.111929       6.33276       1.40563             0       6.17479       6.11861        38.128       1.16474      0.572223       11.9848       2.36811      -9.61672       857.409
0.110347       6.49667         1.442             0       6.33462       6.27691       40.1274       1.19487      0.589315       12.2714       2.40994      -9.86147        902.29
