            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
     0.0150681             0             0     0.0150681     0.0149942   0.000227048             0    0.00108525      0.013023    0.00976723   -0.00325574    0.00495675
     0.0177975             0             0     0.0177975     0.0176883   0.000316751             0    0.00143322     0.0171987      0.012899   -0.00429967    0.00691492
     0.0185386             0             0     0.0185386     0.0184165   0.000343678             0    0.00154681     0.0185617     0.0139213   -0.00464043    0.00750232
     0.0188131             0             0     0.0188131      0.018687   0.000353933             0    0.00158381     0.0190057     0.0142543   -0.00475144    0.00772613
     0.0188599             0             0     0.0188599     0.0187331   0.000355696             0    0.00159023     0.0190827      0.014312   -0.00477068     0.0077646
     0.0188613             0             0     0.0188613     0.0187345    0.00035575             0    0.00159042      0.019085     0.0143138   -0.00477125    0.00776577
     0.0188613             0             0     0.0188613     0.0187345    0.00035575             0    0.00159042      0.019085     0.0143138   -0.00477126    0.00776577
     0.0188613             0             0     0.0188613     0.0187345    0.00035575             0    0.00159042     0.0190851     0.0143138   -0.00477126    0.00776578
     0.0199833             0             0     0.0199833      0.019841   0.000399334             0    0.00173409     0.0208091     0.0156068   -0.00520227    0.00871682
