                      %P                     obs                       s                guesserr                   error     directory
             0.086098499               103.88017               7.6100004           2.7273019e-10           2.0418552e-13   search-75/
             0.087098486               106.19655               7.7100004           2.6537803e-10           7.1740521e-13   search-76/
             0.088098473               108.53959               7.8100004           2.5796803e-10           1.7546558e-13   search-77/
             0.089098461               110.90929               7.9100004           2.5081371e-10           1.0012607e-13   search-78/
             0.090098448               113.30565               8.0100004            2.441495e-10           3.2851064e-13   search-79/
             0.091098435               115.72868               8.1100004            2.374596e-10           9.0258324e-13   search-80/
             0.092098422               118.17837               8.2100004           2.3099838e-10            4.040502e-14   search-81/
              0.09309841               120.65472               8.3100004           2.2544808e-10           2.9554547e-13   search-82/
             0.094098397               123.15773               8.4100004           2.1922708e-10           7.2074027e-13   search-83/
             0.095098385               125.68741               8.5100004           2.1385429e-10           1.1481247e-12   search-84/
             0.096098372               128.24375               8.6100004           2.0764048e-10           6.7286636e-13   search-85/
              0.09709836               130.82676               8.7100004           2.0404557e-10           2.8152948e-13   search-86/
             0.098098348               133.43643               8.8100004           1.9779755e-10           9.3628566e-13   search-87/
             0.099098336               136.07276               8.9100004           1.9318381e-10           4.9398251e-13   search-88/
              0.10009832               138.73575               9.0100004           1.8955382e-10           6.6618786e-14   search-89/
              0.10109831               141.42541               9.1100004           1.8420404e-10           1.7603416e-13   search-90/
               0.1020983               144.14174               9.2100004           1.8106207e-10           1.6206156e-13   search-91/
              0.10309829               146.88472               9.3100004           1.7612708e-10           1.4337517e-12   search-92/
              0.10409828               149.65438               9.4100004           1.7474011e-10           6.9500521e-13   search-93/
              0.10509826               152.45069               9.5100004           1.6856465e-10           1.3541525e-12   search-94/
              0.10609825               155.27367               9.6100004           1.6807069e-10           7.5540068e-13   search-95/
              0.10709824               158.12331               9.7100004           1.6298589e-10           5.6931479e-13   search-96/
              0.10809823               160.99962               9.8100004           1.6198297e-10           1.0440935e-12   search-97/
              0.10909822               163.90259               9.9100004           1.5856727e-10           3.0743234e-14   search-98/
               0.1100982               166.83223                   10.01           1.5643734e-10           5.6573106e-14   search-99/
              0.11109819               169.78853                   10.11           1.5574091e-10           5.6142057e-13   search-100/
              0.11209818               172.77149                   10.21           1.5373494e-10           2.5926256e-13   search-101/
              0.11309817               175.78112                   10.31           1.5237639e-10           7.2161002e-14   search-102/
              0.11409816               178.81742                   10.41           1.5037061e-10           1.2406139e-15   search-103/
              0.11509815               181.88038                   10.51           1.5174793e-10           6.0274069e-14   search-104/
              0.11609813                  184.97                   10.61            1.489095e-10           2.3987795e-12   search-105/
              0.11709812               188.08629                   10.71            1.537092e-10           8.7109481e-13   search-106/
              0.11809811               191.22924                   10.81           1.4601775e-10           2.3335118e-12   search-107/
               0.1190981               194.39885                   10.91           1.5784437e-10           1.9136259e-12   search-108/
              0.12009809               197.59514                   11.01           1.4655496e-10           4.0202443e-14   search-109/
              0.12109808               200.81808                   11.11           1.5487985e-10           8.5624346e-14   search-110/
              0.12209807               204.06769                   11.21           1.5450834e-10           7.2815344e-13   search-111/
              0.12309806               207.34397                   11.31           1.5985373e-10           1.9653998e-13   search-112/
              0.12409804               210.64691                   11.41           1.5561826e-10           4.0275473e-12   search-113/
              0.12509803               213.97652                   11.51           1.6720277e-10           6.0226964e-13   search-114/
              0.12609802               217.33279                   11.61           1.5928571e-10            1.333915e-12   search-115/
              0.12709801               220.71572                   11.71           1.6995521e-10           7.5436966e-13   search-116/
                0.128098               224.12532                   11.81           1.7100963e-10           2.3530163e-12   search-117/
              0.12909799               227.56159                   11.91           1.7815482e-10           8.9199868e-14   search-118/
              0.13009798               231.02452                   12.01           1.7520471e-10           4.7376781e-12   search-119/
              0.13109797               234.51411                   12.11           1.8026671e-10           4.7933754e-13   search-120/
              0.13209796               238.03037                   12.21           1.9823564e-10           1.6216322e-12   search-121/
              0.13309795                241.5733                   12.31           1.8556304e-10           2.9697781e-12   search-122/
              0.13409794               245.14289                   12.41            1.993193e-10           4.0367365e-12   search-123/
              0.13509792               248.73915                   12.51           2.0143794e-10           2.7942931e-12   search-124/
              0.13609791               252.36207                   12.61           2.1357593e-10           2.4765994e-12   search-125/
               0.1370979               256.01165                   12.71           2.2024991e-10            2.984023e-12   search-126/
              0.13809789                259.6879                   12.81           2.1514378e-10            2.854039e-13   search-127/
              0.13909788               263.39082                   12.91            2.327644e-10           9.0880906e-13   search-128/
              0.14009787                267.1204                   13.01           2.2940076e-10           3.2261397e-12   search-129/
              0.14109786               270.87665                   13.11           2.5570997e-10            2.413284e-12   search-130/
              0.14209785               274.65956                   13.21           2.3383588e-10           4.2264774e-12   search-131/
              0.14309784               278.46914                   13.31           2.6565126e-10           1.4916391e-12   search-132/
              0.14409783               282.30538                   13.41           2.6123336e-10            3.760297e-12   search-133/
              0.14509782               286.16828                   13.51           2.8626922e-10           7.2387372e-13   search-134/
              0.14609781               290.05786                   13.61           2.6621026e-10           3.0349407e-12   search-135/
               0.1470978               293.97409                   13.71           2.9135221e-10            1.354487e-12   search-136/
              0.14809779                 297.917                   13.81            2.995281e-10           1.4705688e-14   search-137/
              0.14909778               301.88656                   13.91           3.0128572e-10           7.6337476e-12   search-138/
              0.15009777                305.8828                   14.01           3.0274861e-10           3.4727011e-12   search-139/
              0.15109776               309.90569                   14.11           3.3467727e-10           9.2166493e-12   search-140/
              0.15209774               313.95526                   14.21           3.3651187e-10           1.8310919e-12   search-141/
              0.15309773               318.03149                   14.31           3.2348221e-10           3.3762118e-12   search-142/
              0.15409772               322.13438                   14.41           3.5190214e-10           7.7778777e-12   search-143/
              0.15509771               326.26394                   14.51           3.4240734e-10           3.6865985e-12   search-144/
               0.1560977               330.42016                   14.61           3.7417355e-10           6.2050205e-12   search-145/
              0.15709769               334.60305                   14.71           3.5345635e-10           5.7665378e-12   search-146/
              0.15809768               338.81261                   14.81           3.6852163e-10           5.8354862e-12   search-147/
              0.15909767               343.04882                   14.91           4.1558666e-10            1.118562e-12   search-148/
